"year","name","type"
1970,"Rosey Grier","performer"
1970,"Janis Harper","performer"
1970,"Brenda Lee","performer"
1970,"Don Ho","performer"
1970,"Dick Roman","performer"
1971,"The Temptations","performer"
1971,"Sonny James","performer"
1971,"Bobby Vinton","performer"
1971,"Tommy Tune","performer"
1971,"Lynn Anderson","performer"
1971,"Little Golden Books Characters","performer"
1971,"Sammi Smith","performer"
1971,"Tanja Solnik","performer"
1972,"Freda Payne","performer"
1972,"John Raitt","performer"
1972,"The Broadway Cast of Showboat. Rick Springfield","performer"
1972,"Karen Wyman","performer"
1972,"Jody Miller","performer"
1972,"Danny Bonaduce","performer"
1972,"Donna Fargo","performer"
1972,"Tommy Cash","performer"
1972,"Little Golden Books Characters","performer"
1972,"Bill Anderson","performer"
1973,"George Jones","performer"
1973,"Tammy Wynette","performer"
1973,"Evel Knievel","performer"
1973,"John Davidson","performer"
1973,"Little Golden Books Characters","performer"
1973,"Tanya Tucker","performer"
1973,"Johnny Nash","performer"
1973,"Johnny Whitaker","performer"
1973,"Kathleen Freeman","performer"
1974,"Howard Keel","performer"
1974,"Bo Donaldson and The Heywoods","performer"
1974,"University of Pennsylvania Glee Club","performer"
1974,"The Wombles","performer"
1974,"Bil Baird","performer"
1974,"Kathy Coleman","performer"
1974,"Danny Davis","performer"
1974,"The Cast of Sesame Street","performer"
1974,"Doug Henning","performer"
1974,"Bonnie Langford","performer"
1975,"Shari Lewis","performer"
1975,"Melba Moore","performer"
1975,"Dolly Parton","performer"
1975,"Ben Vereen","performer"
1975,"Mason Reese","performer"
1975,"Bill Hayes","performer"
1975,"Susan Seaforth Hayes","performer"
1975,"Freddy Fender","performer"
1975,"Bil Baird","performer"
1975,"Doug Henning","performer"
1975,"The Cast of Sesame Street","performer"
1976,"Shari Lewis","performer"
1976,"The Cast of the New Howdy Doody Show","performer"
1976,"The West Point Glee Club","performer"
1976,"Laverne & Shirley","performer"
1976,"Paul Williams and the Cast of Bugsy Malone","performer"
1976,"Martha Raye","performer"
1976,"Evel Knievel and Robbie Knievel","performer"
1976,"Barry Manilow and Lady Flash","performer"
1976,"The Cast of Sesame Street","performer"
1976,"Roberta Peters and Justino Diaz","performer"
1977,"Arte Johnson and Jo Anne Worley","performer"
1977,"Andrea McArdle","performer"
1977,"Victor Borge","performer"
1977,"Orson Bean","performer"
1977,"Carol Lawrence","performer"
1977,"Neil Sedaka","performer"
1977,"Lou Rawls","performer"
1977,"Mel Tillis","performer"
1977,"Gloria Gaynor","performer"
1977,"The Trammps","performer"
1977,"Vince Montana","performer"
1977,"Mummenschanz","performer"
1977,"Wally Amos","performer"
1977,"The Cast of Sesame Street","performer"
1977,"University of Pennsylvania Glee Club","performer"
1978,"Melba Moore","performer"
1978,"Peter Ustinov","performer"
1978,"The Village People","performer"
1978,"Bruce Jenner","performer"
1978,"The Oak Ridge Boys","performer"
1978,"Wally Amos","performer"
1978,"Lynn-Holly Johnson","performer"
1978,"The Smothers Brothers","performer"
1978,"Ricardo Montalbán","performer"
1978,"Imogene Coca","performer"
1978,"Shields & Yarnell","performer"
1978,"Margo Smith","performer"
1978,"The Cast of Sesame Street","performer"
1979,"Mickey Rooney and Jan Chamberlin","performer"
1979,"Herb Alpert","performer"
1979,"Wally Amos","performer"
1979,"The Broadway Cast of Ain't Misbehavin'","performer"
1979,"Sandy Duncan","performer"
1979,"Erik Estrada","performer"
1979,"Gil Gerard","performer"
1979,"Lionel Hampton and the All-Stars","performer"
1979,"Andy Kaufman","performer"
1979,"Dianne Kay","performer"
1979,"Robert Keeshan","performer"
1979,"Ann Miller","performer"
1979,"Diana Ross","performer"
1979,"Robert Stack","performer"
1979,"Larry Storch","performer"
1979,"Gloria Vanderbilt","performer"
1979,"Chuck Woolery","performer"
1979,"Anderson Cooper","performer"
1979,"The Cast of Sesame Street","performer"
1979,"Sha Na Na","performer"
1979,"Franco Columbu","performer"
1980,"Melba Moore","performer"
1980,"Linda Ronstadt","performer"
1980,"Rex Smith","performer"
1980,"Captain & Tennille","performer"
1980,"Sister Sledge","performer"
1980,"The Spinners","performer"
1980,"Chita Rivera","performer"
1980,"George Rose","performer"
1980,"Stephanie Mills","performer"
1980,"The Steinettes","performer"
1980,"Priscilla Lopez","performer"
1980,"Dean Butler","performer"
1980,"France Joli","performer"
1980,"Maynard Ferguson","performer"
1980,"Lacy J. Dalton","performer"
1980,"Paul Keenan","performer"
1980,"Danielle Brisebois","performer"
1980,"Wally Amos","performer"
1980,"Joe Nolan","performer"
1980,"The Cast of Sesame Street","performer"
1981,"Moe Bandy","performer"
1981,"Nell Carter","performer"
1981,"Phyllis Diller","performer"
1981,"Erik Estrada","performer"
1981,"Kim Fields","performer"
1981,"Charles Haid","performer"
1981,"Bill Hayes Susan Seaforth Hayes","performer"
1981,"Gregory Hines","performer"
1981,"Wendy Holcombe","performer"
1981,"Geoffrey Holder","performer"
1981,"Phyllis Hyman","performer"
1981,"Barrie Ingham","performer"
1981,"Larry Kert","performer"
1981,"Kaleena Kiff","performer"
1981,"Kool & The Gang","performer"
1981,"Andrea McArdle","performer"
1981,"Nancy McKeon","performer"
1981,"Ann Miller","performer"
1981,"Jim Nabors","performer"
1981,"Donny Osmond","performer"
1981,"Michael Warren","performer"
1981,"Dave Winfield","performer"
1981,"The Cast of Pinwheel","performer"
1981,"The Muppets","performer"
1981,"Don McLean","performer"
