"balloon","version_num","years_active","sponsor","designer","height","length","width","weight","helium_volume","handlers","type","manufacturer","designers","handling_lines"
"Snoopy",7,"2013-2015","PEANUTS Worldwide","Laura Duphiney","38 feet","67 feet",NA,NA,NA,"90","Giant Balloons","Raven Aerostar",NA,NA
"Snoopy",8,"2019-2022","PEANUTS Worldwide","Joseph Ammons","49 feet","43 feet","29 feet","760 lbs.",NA,"90","Giant Balloons","Raven Aerostar",NA,NA
"Snoopy",9,"2023-present","PEANUTS Worldwide","Simon Fisher","50 feet","42 feet","34 feet",NA,NA,NA,"Giant Balloons",NA,NA,NA
"Snuggle Bear",1,"1987-1994","Lever Brothers Company","Manfred BassNicholas Gamarello","58 feet","58 feet","32 feet","312 lbs.","10,500 cubic ft.","50","Giant Balloons","Raven Aerostar",NA,NA
"Sonic the Hedgehog",1,"1993-1997","Sega of America, Inc.","Manfred Bass","64 feet",NA,"26 feet",NA,"18,900 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Sonic the Hedgehog",2,"2011-2013, 2021","SEGA",NA,"50 feet","65 feet","37 feet","350 lbs.",NA,NA,"Giant Balloons",NA,NA,NA
"Spaceman",1,"1952-1955, 1957-1959","Macy's","Ralph Miller","70 feet",NA,"40 feet","600 lbs","14,700 cubic ft.","40","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Spider-Man",1,"1987-1998","Marvel Entertainment Group (1987, 1997)Marvel Comics (1988-1996, 1998)",NA,NA,"78 feet","36 feet","400 lbs.","9,520 cubic ft.","40 (1987-1997)90 (1998)","Giant Balloons","Raven Aerostar","Manfred BassJohn Romita Sr.",NA
"Spider-Man",2,"2009-2014","Marvel Entertainment (2009-2014)Sony Pictures Home Entertainment (2013)",NA,"29 feet","78 feet","37 feet",NA,"11,800 cubic ft.","90","Giant Balloons","Raven Aerostar","Jennifer PalmerJerry Ospa","54"
"SpongeBob SquarePants",1,"2004-2006, 2008-2012","Nickelodeon","Jerry Ospa","62 feet","28 feet","38 feet","785 lbs.","16,200 cubic ft.","70","Giant Balloons",NA,NA,NA
"SpongeBob SquarePants",2,"2013-2018","Nickelodeon","Harry Moore","44 feet","41 feet","34 feet",NA,NA,"90","Giant Balloons",NA,NA,NA
"SpongeBob SquarePants",3,"2019-present","Nickelodeon","Laura DuphineyEirik Payne","44 feet","46 feet","36 feet","896 lbs.","18,000 cubic ft.","90","Giant Balloons",NA,NA,NA
"Stuart the Minion",1,"2022-Present","Universal Pictures/Illumination","Loryn Sotsky","37 feet","40 feet","28 feet",NA,NA,"90","Giant Balloons","Macy's Parade Studio",NA,NA
"Super Grover",1,"2003-2006","Sesame Workshop","Jennifer PalmerLouis Henry Mitchell","38.8 feet","66 feet","39.9 feet",NA,"13,400 cubic ft.","90","Giant Balloons","Raven Aerostar",NA,NA
"Superman",1,"1940","Detective Comics, Inc.","Tony Sarg","75 feet","14 feet deep","44 feet",NA,"9,000 cubic ft.","27","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Superman",2,"1966-1970","National Periodical Publications","Ralph Miller","65 feet",NA,"33 feet","480 lbs.","9,483 cubic ft.","36","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Superman",3,"1980-1987","DC Comics","Sid Smith",NA,"104 feet","35 feet","550 lbs.","12,000 cubic ft.","48","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Teddy Bear",1,"1945, 1949, 1952","Macy's","Elizabeth Rodgers","40 feet",NA,"30 feet",NA,"3,600 cubic ft.","33","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"The Big Bad Wolf",1,"1934-1935","Walt Disney Productions",NA,NA,NA,NA,NA,NA,"30","Giant Balloons","Goodyear Tire and Rubber Company","Walt Disney & Tony Sarg",NA
"The Boss Baby",1,"2020-2022","DreamWorks Animation and Universal Studios","Joel Naprstek","48 feet","32 feet","28 feet",NA,NA,"25 (2020)90 (2021-2022)","Giant Balloons","Signs & Shapes International",NA,NA
"The Cat in the Hat",1,"1994-1997","Random House Publishing (1994-1997)Esprit de Corp (1995-1996)","Manfred Bass","59 feet","40 feet","35 feet",NA,"14,500 cubic ft.","40","Giant Balloons",NA,NA,NA
"The Elf on the Shelf",1,"2012-2020","CCA and B, LLC (2012-2014)Elf on the Shelf (2015-2019)The Lumistella Company (2020)","Jennifer PalmerLaura Duphiney","46 feet","64 feet","28 feet",NA,NA,"90","Giant Balloons",NA,NA,NA
